y,x1,x2,x3,x4,x5
0.27,0.26,10.04,0.0791,0.0102,0.0242
0.28,0.29,10.12,0.0763,0.0099,0.0327
0.3,0.32,10.21,0.0872,0.0094,0.032
0.3,0.34,10.31,0.0876,0.009,0.055
0.29,0.35,10.41,0.0875,0.0083,0.0346
0.31,0.36,10.48,0.0871,0.008,0.0277
0.33,0.37,10.49,0.0787,0.0083,0.0271
0.29,0.39,10.62,0.0806,0.0076,0.0227
0.35,0.41,10.63,0.0835,0.0084,0.0282
0.38,0.41,10.69,0.0847,0.0101,0.0221
0.19,0.1,9.27,0.0362,0.0303,0.1089
0.21,0.11,9.29,0.0383,0.0324,0.121
0.19,0.11,9.35,0.0402,0.0305,0.0585
0.15,0.11,9.43,0.0442,0.0194,0.0575
0.14,0.12,9.5,0.0415,0.0189,0.024
0.15,0.12,9.55,0.0412,0.0152,0.0232
0.16,0.13,9.55,0.0447,0.0163,0.0233
0.15,0.13,9.66,0.0452,0.016,0.0222
0.16,0.13,9.69,0.0456,0.0176,0.0248
0.17,0.14,9.73,0.0479,0.0177,0.0243
0.11,0.16,10.13,0.0221,0.0103,0.0155
0.09,0.19,10.18,0.023,0.0108,0.0146
0.08,0.21,10.26,0.0256,0.0108,0.0172
0.09,0.21,10.33,0.0263,0.0115,0.0187
0.13,0.22,10.39,0.0289,0.0118,0.0185
0.11,0.24,10.46,0.0285,0.0125,0.0194
0.11,0.26,10.49,0.028,0.0135,0.0208
0.12,0.25,10.61,0.0276,0.0141,0.018
0.13,0.26,10.65,0.0255,0.0151,0.0027
